Content,Page URL,Post media content,Reactions,Comments,Reposts
"Behchokǫ̀/Yellowknife Fire (ZF015) – August 4 (11:00am): This fire is out of control. It was last mapped at 113,097 hectares.Distance from landmarks• Yellowknife – 42km northwest• Behchokǫ̀ (Rae) – reached community… See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,,42,13 comments,13 comments
"PROTECTIVE SERVICES - Wildfires: NWT & BCAn update on the Wildfire situation across the West that continue to cause havoc in communities in the Northwest Territories and British Columbia. Evacuations spanning from the City of Yellowknife and the Town of Hay River and Fort Smith, right down to West Kelowna across to the Shuswap and Okanagan area.County Firefighters and other First Responders remain committed to responding to any situation when requested by the Province of … See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/369914610_675340811284676_4322093414953040455_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=3635dc&_nc_ohc=sYlWAzzoEdAAX9WWvHD&_nc_ht=scontent-iad3-2.xx&oh=00_AfAgFc0fB5YHTLblVmTPgPnc0v1lWxhWFrym3YTFXiRVYw&oe=65E7DD5B,41,10 comments,10 comments
"Behchokǫ̀/Yellowknife Fire (ZF015) – July 26 (9:15pm): This fire is out of control. It is estimated at over 100,000 hectares based on satellite detection. Distance from landmarksBehchokǫ̀ (Rae) – community breachedFrank Channel – breached… See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/363377815_693176529521073_8038698006879086197_n.jpg?stp=cp6_dst-jpg_p720x720&_nc_cat=103&ccb=1-7&_nc_sid=3635dc&_nc_ohc=3dvAmlrll6cAX_i69Ma&_nc_ht=scontent-iad3-2.xx&oh=00_AfCBJbfl06MPmEsY37fY8kDIaUSgOSrPsQE20ZAqMPEAxw&oe=65E6311B,203,28 comments,28 comments
"Hey guys, don't go by Ford they shut the road. There was a loaded fuel truck on fire. Hope everybody is safe.",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/412919470_7327010470656695_1101674822288090919_n.jpg?stp=cp6_dst-jpg_p720x720&_nc_cat=100&ccb=1-7&_nc_sid=c42490&_nc_ohc=nU2-ZTSYhWwAX8HYocT&_nc_ht=scontent-iad3-2.xx&oh=00_AfD6jwnvSOvy4LBbPb0OOrQT9H-v-e_YZIJlMTXhT0cucw&oe=65E7D64C,234,25 comments,25 comments
"North Slave Complex (ZF011, ZF012, ZF015, ZF085) – August 19, 12pmConditionsSome help from weather – with about 4mm of rain falling at the nearest weather station to the Behchoko/Yellowknife Fire (ZF015) and a little less than 2mm nearest to the Ingraham Trail Fire (ZF011), and less than 1mm nearest to the Dettah Fire (ZF085). Not all areas of the fire have received precipitation and in general the fire is observed to quiet and smouldering in some areas.This is good new… See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/368452702_707335088105217_5563674277308511338_n.jpg?stp=cp6_dst-jpg_p720x720&_nc_cat=109&ccb=1-7&_nc_sid=3635dc&_nc_ohc=lkTkf7Uv64cAX9EJ4Qc&_nc_ht=scontent-iad3-2.xx&oh=00_AfAYoa6TbzhlzcYGixptgYknaAFXtYqGwv-RVAIyCNQ8mA&oe=65E74C31,202,20 comments,20 comments
"Behchoko/Yellowknife Fire (ZF015) - August 29, 11.30am SIZE167,082 hectares … See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,,55,,
"City of Whitehorse firefighters, Fire Marshalls office and members from the Volunteer fire departments make there way to their Airnorth flight that will take them Yellowknife. They will integrate with Yellowknife fire department and help with structural protection and urban interface.  City of Whitehorse, Yukon",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/368678176_604689408520736_8008142638336858640_n.jpg?stp=dst-jpg_s1080x2048&_nc_cat=109&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=M4J-OX_BwH0AX8IGBg3&_nc_ht=scontent-iad3-2.xx&oh=00_AfDmCg5GaLp2zCalqNhZ1dRduvWsE1ahB5lgD9SqLZ8PEw&oe=65E74731,211,12 comments,12 comments
"Behchokǫ̀/Yellowknife Fire (ZF015) – August 7 (2:00pm) - This fire remains out of control. It is estimated at more than 115,000 hectares. Distance from landmarks• Yellowknife – ~35km northwest at nearest point… See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,,46,4 comments,4 comments
"The last two weeks have been stressful, emotional and challenging for everyone. The resiliency of Yellowknifers cannot be understated – this is truly an unprecedented time for our community.Today, we were advised by the Territorial Government’s Environment & Climate Change wildfire experts that the Yellowknife fires (Behchoko/Yellowknife Fire and Ingraham Trail Fire) are now “being held,” and not considered to be out of control at this time. “Being held” means that with t… See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/370531833_791296966334974_6896931725191940380_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=3635dc&_nc_ohc=yMW2lZYPpdgAX_6Juky&_nc_ht=scontent-iad3-2.xx&oh=00_AfDk01hFl4UtHK59SjBdc0zWyrosQpIGdns2Ghv8J5WM4g&oe=65E6DD5D,218,,
"Behchokǫ̀/Yellowknife Fire (ZF015) – August 7 (2:00pm) - This fire remains out of control. It is estimated at more than 115,000 hectares. Distance from landmarks• Yellowknife – ~35km northwest at nearest point… See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,,46,4 comments,4 comments
