Content,Reactions,Comments,Reposts,Poster,Location
H here!i became a full-time housesitter as of august 1st (evacuation taking up a lot of that time) and i’m looking to continue this for as long as possible my current availability is: … See more,66,21 comments,21 comments,Yellowknife House Sitting,
"We’ve put together a timeline of our experience during the evacuation and wanted to share it publicly as we know others shared our concerns for our unhoused community members. Here’s some critical moments of the timeline, but you can find the full details on our website. https://www.ykws.ca/post/ykws-evacuation-story",43,4 comments,4 comments,Yellowknife Women's Society,
"Hello to our Yellowknife clients. We have received updated information from your Insurer.  Mass Evacuation Coverage sits under Additional Living Expenses and are available for all personal lines policy holders. The coverage available differs from Insurance company to Insurance company therefore because your situation may differ from that of family and friends, we ask that you contact the Claims Department for your Insurance Company directly, to speed up establishing a claim f… See more",6,5 comments,5 comments,Avid Insurance Group - North,
*Please note due to evacuation orders to both Yellowknife & Hay River our offices are still closed*Hay River clients please contact:mark@norlandinsurance.com or holly@norlandinsurance.comor 867-876-2101.… See more,2,,,Norland Insurance Agencies Ltd,
"As wildfires continue to spread, we are seeing an influx of displaced wildlife entering our cities in search of safety. Stay safe, stay vigilant, and keep an eye out for our furry friends!"" #explorerhotel #yellowknife #Wildlife #Evacuation #Safety #wildlifeprotection #wildfires",38,14 comments,14 comments,The Explorer Hotel,
"What would you do if you think you got “Fired” during the evacuation. When I back to Yellowknife was told not to go back to work not just yet (HR)but also got word some of the other employees were called to return, where abouts do I go from here, from a stress out employee Please no negative but just want some positive feed back of what would be my next move be",6,19 comments,19 comments,Yellowknife current events,
Are evacuation insurance claims will result in increased policy premiums on renewal?What are the deductables?Would be good to list the answer from various insurers.,2,28 comments,28 comments,Yellowknife's Rants & Raves 2.0 (Rated E),
"ATTENTION: GNWT staff members coordinating the evacuation. Can someone contact the City of Leduc and the City of Edmonton to give authorization for them to provide meal vouchers to evacuees just like they are doing in Whitehorse, Calgary, Red Deer, St Albert and Valley View.We are all in the same situation, and need the same level of support and resources as everyone else is? … See more",24,16 comments,16 comments,Yellowknife current events,
"Incredible event happening in Yellowknife Northwest Territories right now.  Largest evacuation of one place in Canada's history.  All 22,000 people required to leave by noon Friday.  Fire expected to be at city's edge by Friday night.  First evacuation flights by Canada Forces Hercules military transport planes starting today.  So glad Mary got out yesterday.  She was there visiting Nikki and fam for a week, was supposed to stay until Friday.  Westjet arranged to put Mary o… See more",19,14 comments,14 comments,Stu Rawlings,
"Prayers for the residents of Yellowknife NWTThey are under a mandatory evacuation and all 22,000 residents must leave by tomorrow at noon.An extremely dangerous route by the highway. Edmonton is 14 hours away.  This trip will probably be double that time. … See more",9,2 comments,2 comments,Rosemary Gillan,
Edmonton evacuation center,40,7 comments,7 comments,Tracy Therrien,
Safe in Edmonton. Sorry guys my car phone charger does not work. Evacuation Center #2. Crazy Days.,,,,Tracy Therrien,
Very cool that Zuckerberg has banned Canadians from sharing critical wildfire information with each otherhttps://amp.theguardian.com/.../canada-wildfire...,40,3 comments,3 comments,Catmin's Anticapitalist Treehouse of Solidarity,
"Good afternoon fellow yelloknifers,I’m wondering your opinions on dentist that work after five? Do you know any good ones? I had a root canal done a month before evacuation which I paid the difference of 1400 from my insurance. and on evacuation it fell out. … See more",6,12 comments,12 comments,Yellowknife's Rants & Raves 2.0 (Rated E),
"The Yellowknife South office is open to the public for the next little bit in the Lounge at the Fairfield Inn and Suites in Calgary, as Sarah and I have found ourselves in the same evac city for the moment.Come have a chat with us. #nwtfire #nwtpoli #opennwt #evacuation #yksouth",137,17 comments,17 comments,Caroline Wawzonek,
"While the evacuation of #yellowknife continues, it is also time to start saying thank you to the YourAlberta (Government of Alberta), and all of the municipalit… See more",,,,"Ben Hendriksen, Yellowknife City Councillor",
"While the Behchokǫ̀/Yellowknife Fire (ZF015) is being held, the Evacuation Order remains in effect. That said, we are inching closer to welcoming residents home, and the planning for a safe re-entry has begun. More information can be found here: https://www.yellowknife.ca/.../yellowknife-preparing-for...",71,4 comments,4 comments,City of Yellowknife,
"Thank you guys for the concern on the Yellowknife evacuation.I'm happy you're thinking of me!Just to clarify though, Edmonton is closer to Yellowknife (14.5 hour drive) than us (21.5 hour drive)… See more",66,15 comments,15 comments,Alannah Monica,
"NOTE: YELLOWKNIFE IS NOT UNDER AN EVACUATION ORDER. THIS INFORMATION IS TO HELP PREPARE.One of the biggest concerns I am hearing about is pet evacuations. The attached can help plan, but I will also say, that based on what we have seen through other evacuations, if you do not have a vehicle that can take your animal, it is worth having a pre-planned solution. I recommend finding a community member willing to take your pet in their vehicle.It is better to be overly prepare… See more",23,22 comments,22 comments,Caitlin Cleveland,
"The City of Yellowknife and the YKDFN have put together their Community Re-entry Plan - I have put it into a jpg format for you, or you can download it here: https://www.yellowknife.ca/.../YELLOWKNIFE-AND-YKDFN-RE...#NWTFire #OpenNWT #Evacuation #ReEntry #Plan #NWTpoli #CDNpoli",7,1 comment,1 comment,Caroline Wawzonek,
"Dear Yellowknife South and other YK neighbours,I have too many words to post them directly onto my social media platforms, I have put my words and thoughts in the attached image.The links that I reference on where you can find accurate information are: … See more",51,27 comments,27 comments,Caroline Wawzonek,
Yesterday during Session I took the opportunity to ask Minister Thompson why the city of Yellowknife Evacuation order was issued by the GNWT and what exactly occurred in that very rapid 24-hour period from when the State of Emergency was issued to when the order was made.#NWTpoli #OpenNWT #Question #CityofYellowknife #Evacuation,6,2 comments,2 comments,Rylund Johnson,
"Volunteers preparing food hampers Edit! These hampers are for Rae residents only, these hampers were planned and in place to help all the Rae residents who lost groceries during our evacuation due to power outages.These hampers were already planned and started before the Yellowknife evacuation happened.",,57 comments,57 comments,Gracie Ann,
"Yellowknife Evacuation information Air Evacuation• Only residents who do not have the option to leave the area by road are asked to register for evacuation flights.• Residents who are immunocompromised or have a condition that puts them at higher risk of severe outcomes are encouraged to register for flights as soon as possible due to intensifying smoke in the region.• Air evacuations are scheduled to begin at 1pm Thursday, August 17, 2023.… See more",4,10 comments,10 comments,Janell Margot,
"Well folks, it is official, Yellowknife is under evacuation order. Bob and Carter drove out earlier Wednesday evening. Shannon will be departing yk with the medical staff by plane along with Melody. Coop,Jaine and I are evaluating our options. We will be leaving the City, just not sure of our destination. Safe travels to those evacuating and safe wishes to the frontline folks working to keep our City in one piece!",93,42 comments,42 comments,Warren McLeod,"Yellowknife, NT"
COPY OF EVACUATION ORDERResidents have reached out indicating they need a copy of the Evacuation Order to start an insurance claim. I have attached it here and provided a link below.https://www.gov.nt.ca/.../evacuation_order_yellowknife...… See more,32,1 comment,1 comment,Caitlin Cleveland,
"Alberta Dance Community: our friends from Yellowknife NWT are under mandatory evacuation order to due to wildfires, and many families have been displaced to communities across Alberta. We are helping a studio owner from the area identify studios in Alberta that may have drop-in dance classes for displaced dance students to attend, helping them keep up their training and more importantly, contribute to their overall wellbeing and feel a sense of community support. Please com… See more",12,26 comments,26 comments,Dance Safe Alberta,
"Things I learned evacuating Yellowknife due to Wildfires...- cell service between Yellowknife and the border is necessary and long overdue- more bathrooms/outhouses between YK and Fort Providence- people in Northern Communities look after each other and am beyond grateful and amazed at the support we have received from everyone, and- the GNWT needs to think before it speaks.  Seriously.… See more",24,3 comments,3 comments,Allison MacDonald,
"EVACUATION ALERTIndividuals along Highway 3 between kilometers 276 and 290 (between Behchoko and Yellowknife) are advised to evacuate the area immediately due to wildfire.From INF: KM 276 is roughly 25 km from Rae turn off, KM 290 is 48 km from Jackfish plant.… See more",4,3 comments,3 comments,Caroline Wawzonek,
"Well, the season is ending earlier than expected.  With the evacuation of Yellowknife due to the threat of forest fires, our season has been cut short.  100 of our guests and staff are being evacuated to Calgary right now.  Thanks to Summit Air for helping to get it all organized. We’ll try this again next year. Good luck Yellowknife. Stay safe.  #plummersexperience #nwtfires #summitair #sixgreatweeks",100,26 comments,26 comments,Plummers Lodges,
"Foundin the middle of the road about 100km north of Town of Manning, by evacuees fleeing Yellowknife, Evacuation Notices are pending.Female friendly , quite thin No mc or tattoo, around a year old, possibly Kangal shepherd X Does anyone know this dog?  Would anyone be willing to foster ? Or take her in ? We have a number of Evacuee animals from Hay River at moment.",28,7 comments,7 comments,Manning Strays/Adoptables,
